,car_I,num_agents,num_samples,frac_car_I,frac_agents_samples,frac_samples_agents
88,2.0,51.0,3.0,0.0392156862745098,17.0,0.058823529411764705
89,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
90,5.0,60.0,3.0,0.08333333333333333,20.0,0.05
91,2.0,60.0,3.0,0.03333333333333333,20.0,0.05
92,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
93,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
94,60.0,60.0,3.0,1.0,20.0,0.05
95,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
96,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
97,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
98,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
99,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
100,4.0,4.0,4.0,1.0,1.0,1.0
101,4.0,4.0,4.0,1.0,1.0,1.0
102,4.0,4.0,4.0,1.0,1.0,1.0
103,4.0,4.0,4.0,1.0,1.0,1.0
104,4.0,4.0,4.0,1.0,1.0,1.0
105,4.0,4.0,4.0,1.0,1.0,1.0
106,4.0,4.0,4.0,1.0,1.0,1.0
107,4.0,4.0,4.0,1.0,1.0,1.0
108,4.0,4.0,4.0,1.0,1.0,1.0
109,4.0,4.0,4.0,1.0,1.0,1.0
110,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
111,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
112,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
113,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
114,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
115,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
116,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
117,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
118,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
119,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
120,20.0,20.0,4.0,1.0,5.0,0.2
121,20.0,20.0,4.0,1.0,5.0,0.2
122,20.0,20.0,4.0,1.0,5.0,0.2
123,20.0,20.0,4.0,1.0,5.0,0.2
124,20.0,20.0,4.0,1.0,5.0,0.2
125,20.0,20.0,4.0,1.0,5.0,0.2
126,20.0,20.0,4.0,1.0,5.0,0.2
127,20.0,20.0,4.0,1.0,5.0,0.2
128,20.0,20.0,4.0,1.0,5.0,0.2
129,20.0,20.0,4.0,1.0,5.0,0.2
130,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
131,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
132,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
133,27.0,28.0,4.0,0.9642857142857143,7.0,0.14285714285714285
134,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
135,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
136,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
137,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
138,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
139,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
140,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
141,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
142,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
143,34.0,36.0,4.0,0.9444444444444444,9.0,0.1111111111111111
144,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
145,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
146,17.0,36.0,4.0,0.4722222222222222,9.0,0.1111111111111111
147,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
148,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
149,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
150,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
151,3.0,44.0,4.0,0.06818181818181818,11.0,0.09090909090909091
152,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
153,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
154,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
155,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
156,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
157,3.0,44.0,4.0,0.06818181818181818,11.0,0.09090909090909091
158,6.0,44.0,4.0,0.13636363636363635,11.0,0.09090909090909091
159,44.0,44.0,4.0,1.0,11.0,0.09090909090909091
160,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
161,5.0,52.0,4.0,0.09615384615384616,13.0,0.07692307692307693
162,52.0,52.0,4.0,1.0,13.0,0.07692307692307693
163,52.0,52.0,4.0,1.0,13.0,0.07692307692307693
164,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
165,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
166,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
167,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
168,38.0,52.0,4.0,0.7307692307692307,13.0,0.07692307692307693
169,1.0,52.0,4.0,0.019230769230769232,13.0,0.07692307692307693
170,8.0,60.0,4.0,0.13333333333333333,15.0,0.06666666666666667
171,60.0,60.0,4.0,1.0,15.0,0.06666666666666667
172,60.0,60.0,4.0,1.0,15.0,0.06666666666666667
173,1.0,60.0,4.0,0.016666666666666666,15.0,0.06666666666666667
174,3.0,60.0,4.0,0.05,15.0,0.06666666666666667
175,1.0,60.0,4.0,0.016666666666666666,15.0,0.06666666666666667
176,1.0,60.0,4.0,0.016666666666666666,15.0,0.06666666666666667
177,1.0,60.0,4.0,0.016666666666666666,15.0,0.06666666666666667
178,1.0,60.0,4.0,0.016666666666666666,15.0,0.06666666666666667
179,26.0,60.0,4.0,0.43333333333333335,15.0,0.06666666666666667
180,3.0,68.0,4.0,0.04411764705882353,17.0,0.058823529411764705
181,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
182,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
183,68.0,68.0,4.0,1.0,17.0,0.058823529411764705
184,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
185,66.0,68.0,4.0,0.9705882352941176,17.0,0.058823529411764705
186,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
187,3.0,68.0,4.0,0.04411764705882353,17.0,0.058823529411764705
188,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
189,1.0,68.0,4.0,0.014705882352941176,17.0,0.058823529411764705
190,1.0,80.0,4.0,0.0125,20.0,0.05
191,1.0,80.0,4.0,0.0125,20.0,0.05
192,1.0,80.0,4.0,0.0125,20.0,0.05
193,1.0,80.0,4.0,0.0125,20.0,0.05
194,3.0,80.0,4.0,0.0375,20.0,0.05
195,1.0,80.0,4.0,0.0125,20.0,0.05
196,6.0,80.0,4.0,0.075,20.0,0.05
197,2.0,80.0,4.0,0.025,20.0,0.05
198,1.0,80.0,4.0,0.0125,20.0,0.05
199,1.0,80.0,4.0,0.0125,20.0,0.05
200,5.0,5.0,5.0,1.0,1.0,1.0
